video_id,duration_minutes,title_length,description_length,tags_count,has_thumbnail_custom,video_quality,category,language,has_subtitles,channel_subscribers,channel_age_months,previous_videos_count,avg_upload_frequency_days,comments_count,likes_count,shares_count,playlist_adds,promoted,upload_time,upload_day,total_views,total_views_log,engagement_rate,views_per_tag
VID01088,42,34,233.0,36.0,Sim,1080p,Fitness,Espanhol,Sim,705090,75.0,284,26,7121.0,25350,2496.0,415,Não,Tarde,Domingo,740987,13.51573970981511,0.04382128161492712,20026.675675675677
VID02143,47,56,699.0,9.0,Sim,480p,Culinária,Português,Sim,602631,80.0,67,26,7056.0,25119,1711.0,246,Não,Tarde,Seg-Qui,537180,13.194090374427926,0.05989612420417737,53718.0
VID01217,38,39,352.0,47.0,Sim,1080p,Fitness,Português,Não,831753,114.0,271,11,5427.0,18245,3477.0,9,Não,Madrugada,Seg-Qui,666426,13.409685885220494,0.035520823017109175,13883.875
VID00938,34,46,811.0,0.0,Sim,720p,Música,Português,Sim,582808,40.0,188,18,5556.0,16362,2433.0,875,Sim,Manhã,Sábado,1021477,13.836761156052432,0.021457164478495355,1021477.0
VID00057,26,29,675.0,49.0,Sim,4K,Vlogs,Inglês,Não,713236,17.0,41,9,3978.0,47487,1281.0,654,Não,Noite,Sexta,1778552,14.391310670320214,0.028936460671377614,35571.04
VID00932,26,80,394.0,38.0,Sim,720p,Culinária,Português,Não,973115,47.0,415,8,8129.0,1054,3417.0,632,Não,Madrugada,Sexta,750420,13.528389661357204,0.01223714719756936,19241.53846153846
VID00980,40,31,321.0,28.0,Sim,480p,Educação,Português,Não,170999,97.0,451,21,2610.0,44763,2533.0,891,Não,Madrugada,Sexta,226235,12.329333981194583,0.2093973081088249,7801.206896551724
VID00644,38,73,803.0,45.0,Sim,1080p,Fitness,Espanhol,Não,685891,36.0,11,1,8186.0,15103,1498.0,471,Não,Manhã,Seg-Qui,690147,13.444661346326784,0.03374498476411547,15003.195652173914
VID02437,19,68,862.0,47.0,Sim,1080p,Culinária,Espanhol,Não,370277,95.0,214,24,9917.0,41882,1312.0,40,Sim,Manhã,Domingo,633259,13.358636359290756,0.08179749517969741,13192.895833333334
VID00045,56,37,617.0,44.0,Não,1080p,Fitness,Português,Não,789843,96.0,475,28,4309.0,24970,4430.0,413,Não,Manhã,Sábado,640085,13.369357821308343,0.04574236234250138,14224.111111111111
VID01463,24,33,251.0,37.0,Sim,4K,Tecnologia,Inglês,Sim,716916,85.0,412,21,92.0,34089,2200.0,320,Não,Manhã,Sexta,1976739,14.496959581111726,0.017291610070929952,52019.44736842105
VID01201,7,37,814.0,21.0,Sim,4K,Fitness,Inglês,Não,513704,31.0,498,15,18.0,14913,911.0,537,Sim,Madrugada,Sábado,1111062,13.920827772684628,0.01343849398143398,50502.818181818184
VID01778,36,50,430.0,2.0,Sim,4K,Culinária,Português,Sim,164905,30.0,105,3,4952.0,27058,4365.0,555,Não,Tarde,Sexta,272728,12.51623390714729,0.11736968701416796,90909.33333333333
VID00354,34,53,145.0,24.0,Sim,1080p,Fitness,Português,Não,782270,42.0,63,26,9224.0,13372,4309.0,730,Não,Tarde,Seg-Qui,608321,13.31845962602009,0.037144862662969055,24332.84
VID01927,60,16,958.0,,Sim,720p,Vlogs,Português,Sim,832390,75.0,417,26,4304.0,18302,2017.0,564,Não,Manhã,Domingo,741331,13.516203847121732,0.030493801014661467,
VID00458,33,87,178.0,21.0,Sim,1080p,Educação,Inglês,Sim,670279,79.0,359,18,9128.0,30638,1340.0,354,Não,Tarde,Sexta,1243302,14.033282105871441,0.03198418405182329,56513.72727272727
VID00176,40,81,695.0,28.0,Sim,720p,Fitness,Inglês,Sim,189387,37.0,36,28,2551.0,25209,151.0,841,Não,Tarde,Sexta,523900,13.169058014155704,0.05298721129986639,18065.51724137931
VID00766,19,90,409.0,15.0,Sim,480p,Gaming,Português,Sim,59126,44.0,363,14,3671.0,43506,1715.0,531,Não,Tarde,Seg-Qui,205855,12.234932174210726,0.22917587622355542,12865.9375
VID02151,25,32,722.0,2.0,Sim,1080p,Tecnologia,Português,Sim,84866,58.0,242,4,7753.0,25688,4930.0,692,Não,Madrugada,Sábado,210224,12.255933664701098,0.1590731790851663,70074.66666666667
VID00480,51,77,253.0,7.0,Sim,1080p,Culinária,Português,Não,599712,107.0,274,9,4406.0,12534,1014.0,299,Não,Noite,Seg-Qui,476667,13.074575510766865,0.03553843668640791,59583.375
VID01568,51,14,540.0,2.0,Sim,1080p,Vlogs,Português,Não,415259,76.0,125,19,1513.0,9766,1366.0,419,Não,Tarde,Sábado,380367,12.848894484138054,0.029652940449618394,126789.0
VID01318,38,57,415.0,35.0,Não,1080p,Educação,Português,Não,884694,39.0,267,19,954.0,19973,1855.0,98,Não,Manhã,Sábado,516700,13.155219649632413,0.04050125798335591,14352.777777777777
VID01638,20,63,709.0,31.0,Sim,4K,Gaming,Português,Sim,459273,18.0,81,27,2217.0,11991,4501.0,906,Não,Tarde,Domingo,716617,13.482298202153208,0.01982649030095574,22394.28125
VID02185,57,66,557.0,39.0,Sim,480p,Culinária,Português,Sim,432596,12.0,194,8,3134.0,19572,4612.0,203,Sim,Noite,Sábado,454657,13.027300766952182,0.04994094449222161,11366.425
VID00809,11,91,287.0,22.0,Não,720p,Vlogs,Português,Não,675153,71.0,24,11,3904.0,48225,920.0,860,Não,Manhã,Sábado,667665,13.4115433274771,0.07807658032096935,29028.91304347826
VID01566,29,17,311.0,23.0,Sim,1080p,Fitness,Inglês,Sim,616812,8.0,69,20,6451.0,23938,2573.0,540,Sim,Manhã,Sexta,1402635,14.1538638813747,0.021665650721677414,58443.125
VID00044,45,93,899.0,47.0,Não,1080p,Culinária,Inglês,Sim,182736,62.0,400,1,5644.0,2071,1459.0,480,Sim,Manhã,Sábado,645001,13.377008696548296,0.01196122176554765,13437.520833333334
VID00451,55,30,855.0,2.0,Não,1080p,Música,Inglês,Não,247710,7.0,395,24,9770.0,49253,2933.0,361,Não,Noite,Sábado,1353564,14.118252410525804,0.043605621898927575,451188.0
VID00782,28,33,85.0,10.0,Não,1080p,Tecnologia,Português,Não,499453,93.0,139,21,1063.0,44452,1505.0,970,Não,Noite,Seg-Qui,585927,13.280952194116196,0.07768032536476387,53266.09090909091
VID00325,43,55,734.0,26.0,Sim,1080p,Educação,Inglês,Não,945213,71.0,212,26,1281.0,35357,1170.0,787,Não,Noite,Sexta,1515752,14.231422903150227,0.0241715003509809,56138.96296296296
VID00840,46,29,880.0,5.0,Sim,1080p,Culinária,Português,Não,839751,60.0,207,11,8849.0,36002,4040.0,30,Não,Noite,Domingo,726554,13.49606946456399,0.06173113079000322,121092.33333333333
VID00757,15,50,948.0,15.0,Não,1080p,Educação,Inglês,Não,806843,103.0,29,24,7527.0,8791,4236.0,186,Não,Tarde,Domingo,1334950,14.104405145023025,0.01222367878946777,83434.375
VID00974,41,79,984.0,24.0,Não,720p,Fitness,Português,Não,537931,68.0,57,13,1884.0,3164,2376.0,111,Não,Manhã,Sábado,383619,12.857407758275679,0.013158889418928676,15344.76
VID02298,37,92,912.0,48.0,Não,1080p,Fitness,Espanhol,Não,68837,52.0,169,7,8935.0,39387,4061.0,166,Não,Manhã,Sábado,272058,12.513774233520884,0.1776165376500599,5552.2040816326535
VID00510,59,59,153.0,14.0,Sim,720p,Música,Espanhol,Sim,931982,34.0,440,28,9453.0,46147,4380.0,728,Não,Noite,Domingo,2080170,14.547960659836779,0.026728584682982642,138678.0
VID00611,6,54,764.0,31.0,Sim,720p,Vlogs,Português,Não,445285,40.0,323,5,4705.0,30854,2890.0,456,Não,Madrugada,Domingo,461806,13.04290233386474,0.07699986574449011,14431.4375
VID00621,2,96,520.0,38.0,Sim,480p,Culinária,Espanhol,Sim,205499,8.0,84,1,3092.0,49932,4001.0,890,Não,Madrugada,Seg-Qui,387189,12.86667080760477,0.13694603927280993,9927.923076923076
VID02022,43,15,260.0,34.0,Sim,720p,Educação,Inglês,Não,934810,67.0,50,9,4085.0,41166,238.0,607,Não,Madrugada,Sexta,1541431,14.248222412458272,0.029356487575506136,44040.885714285716
VID02059,12,43,373.0,,Sim,4K,Gaming,Português,Sim,251685,,159,29,2936.0,45884,,622,Não,Manhã,Domingo,527362,13.175644394960601,0.09257398143969417,
VID01377,28,39,969.0,8.0,Sim,1080p,Tecnologia,Português,Não,156906,42.0,159,18,8296.0,12567,2580.0,120,Não,Noite,Sexta,241971,12.396577295965436,0.08622107607936488,26885.666666666668
VID00679,12,27,636.0,16.0,Sim,720p,Vlogs,Português,Sim,835915,39.0,402,16,1845.0,645,258.0,381,Não,Tarde,Seg-Qui,671031,13.41657210483159,0.003710707851053081,39472.41176470588
VID01358,8,54,605.0,44.0,Sim,4K,Tecnologia,Português,Não,831843,100.0,144,1,8093.0,43779,1365.0,780,Não,Tarde,Sexta,934731,13.74801513616826,0.05549404053144701,20771.8
VID01232,57,11,761.0,43.0,Sim,1080p,Educação,Espanhol,Não,968775,80.0,453,8,1934.0,38276,1356.0,39,Não,Manhã,Seg-Qui,805767,13.599551138863472,0.04990276345395133,18312.886363636364
VID02429,56,15,758.0,2.0,Não,1080p,Música,Português,Não,792257,91.0,40,28,7825.0,29836,751.0,815,Sim,Manhã,Domingo,1379190,14.137007653348233,0.027306607501504505,459730.0
VID02091,28,22,487.0,13.0,Não,720p,Vlogs,Inglês,Sim,362586,,296,5,59.0,9698,3178.0,696,Sim,Manhã,Sábado,970409,13.785473941587735,0.010054523401988234,69314.92857142857
VID00737,17,39,964.0,32.0,Não,1080p,Gaming,Inglês,Sim,907176,4.0,397,4,5358.0,12521,3666.0,845,Não,Madrugada,Seg-Qui,4406107,15.298502318073062,0.004057777080765402,133518.39393939395
VID00531,53,45,500.0,39.0,Sim,720p,Culinária,Inglês,Sim,250637,42.0,295,26,7693.0,20639,867.0,828,Não,Tarde,Domingo,677763,13.426554423731854,0.04180222290092554,16944.075
VID02485,43,13,659.0,4.0,Sim,4K,Culinária,Português,Sim,505024,11.0,74,1,6746.0,11447,59.0,982,Não,Manhã,Domingo,386546,12.865008743756144,0.047065549766392614,77309.2
VID00481,26,34,210.0,0.0,Não,4K,Educação,Espanhol,Não,60806,67.0,74,5,2609.0,12768,2021.0,600,Não,Noite,Sábado,165558,12.017082905738121,0.09287983667355247,165558.0
VID01132,57,20,541.0,41.0,Não,720p,Vlogs,Português,Não,362857,28.0,76,6,9436.0,31236,1416.0,471,Não,Noite,Domingo,399128,12.89703995188982,0.10190214667976188,9503.047619047618
VID02381,7,83,749.0,45.0,Sim,480p,Vlogs,Português,Sim,938308,35.0,393,3,1545.0,10,504.0,551,Não,Noite,Domingo,765764,13.548630613141757,0.0020306517412675444,16647.043478260868
VID00970,14,95,523.0,41.0,Não,720p,Educação,Português,Não,349425,74.0,149,26,9530.0,29619,2981.0,161,Não,Tarde,Sábado,335987,12.724830724021857,0.11651938914303232,7999.690476190476
VID02033,57,50,572.0,15.0,Não,1080p,Fitness,Português,Sim,732655,36.0,397,22,4783.0,30712,3834.0,101,Não,Noite,Seg-Qui,545369,13.209219742380217,0.06508437406599935,34085.5625
VID01400,9,38,781.0,3.0,Não,1080p,Gaming,Português,Não,263151,88.0,267,5,7014.0,45528,1346.0,767,Sim,Madrugada,Sábado,534094,13.18832900474126,0.09837594131370134,133523.5
VID00802,7,89,239.0,39.0,Sim,720p,Gaming,Inglês,Não,439720,94.0,238,11,1229.0,2263,52.0,55,Não,Tarde,Domingo,1519443,14.233855036431487,0.002298210594276982,37986.075
VID00189,37,37,548.0,1.0,Sim,1080p,Educação,Inglês,Sim,500414,6.0,385,29,6125.0,490,3946.0,591,Não,Noite,Domingo,821600,13.619010154733038,0.008051363193768257,410800.0
VID01821,56,33,370.0,7.0,Sim,480p,Gaming,Português,Não,286142,41.0,129,23,8767.0,41353,4291.0,722,Não,Madrugada,Seg-Qui,508348,13.138923498552755,0.09859387663569051,63543.5
VID02131,32,50,555.0,43.0,Não,4K,Música,Português,Não,130097,115.0,316,24,7285.0,48243,2233.0,271,Não,Noite,Sábado,370140,12.821639293108536,0.15001891176311666,8412.272727272728
VID02329,9,25,397.0,45.0,Sim,720p,Fitness,Inglês,Sim,655447,28.0,296,5,4345.0,13658,2097.0,335,Não,Madrugada,Sexta,1257655,14.044760228927768,0.014314736553347302,27340.32608695652
VID01972,13,66,375.0,0.0,Sim,1080p,Fitness,Inglês,Sim,547013,114.0,296,26,9717.0,16466,1584.0,609,Não,Noite,Sábado,1166097,13.969173690388182,0.02245353516902968,1166097.0
VID00252,38,45,500.0,23.0,Não,1080p,Música,Inglês,Não,915155,84.0,270,10,4840.0,7839,4928.0,508,Não,Manhã,Sábado,3731559,15.132336934748977,0.0033977755677988743,155481.625
VID00260,29,56,623.0,37.0,Sim,1080p,Educação,Português,Não,748509,91.0,349,16,9147.0,39093,2288.0,980,Sim,Noite,Sexta,603738,13.310897264321245,0.07990220923645687,15887.842105263158
VID01303,13,34,57.0,4.0,Sim,1080p,Tecnologia,Português,Não,422604,53.0,276,4,5051.0,6530,2065.0,112,Não,Noite,Seg-Qui,490466,13.103113277436808,0.02361223815718113,98093.2
VID01678,33,32,437.0,9.0,Sim,720p,Vlogs,Português,Não,56500,32.0,404,16,8896.0,32179,1326.0,813,Sim,Noite,Domingo,214041,12.273927536429428,0.1919024859723137,21404.1
VID01762,95,43,244.0,4.0,Sim,1080p,Música,Português,Sim,666630,78.0,468,19,5612.0,5640,4820.0,601,Não,Madrugada,Domingo,1109910,13.919790389893734,0.010137758917389699,221982.0
VID02118,46,10,734.0,2.0,Não,1080p,Vlogs,Espanhol,Sim,334729,6.0,290,22,5094.0,46490,1656.0,630,Não,Noite,Sábado,482818,13.087397121200851,0.10683943017865945,160939.33333333334
VID00441,53,39,445.0,38.0,Sim,480p,Gaming,Espanhol,Sim,136015,80.0,475,20,436.0,22074,2728.0,750,Não,Noite,Sábado,389002,12.871342334653107,0.057866026395751176,9974.410256410256
VID01533,163,77,383.0,31.0,Não,720p,Tecnologia,Português,Sim,772035,104.0,380,13,5932.0,26943,3725.0,760,Não,Manhã,Sexta,829009,13.627987496770855,0.03965578178282745,25906.53125
VID00219,58,28,244.0,6.0,Sim,720p,Tecnologia,Português,Sim,16920,109.0,92,7,9512.0,34201,248.0,493,Não,Madrugada,Sexta,154325,11.946822527072626,0.28325287542523897,22046.428571428572
VID01079,6,43,499.0,47.0,Sim,1080p,Tecnologia,Espanhol,Não,887203,72.0,294,26,4073.0,31774,141.0,517,Não,Madrugada,Sexta,1230095,14.02260277308344,0.02914165166105057,25626.979166666668
VID01115,36,42,799.0,27.0,Sim,1080p,Gaming,Espanhol,Sim,114532,105.0,245,9,5467.0,44056,516.0,228,Não,Tarde,Domingo,432008,12.97620170034257,0.11463445121386641,15428.857142857143
VID01793,18,91,583.0,0.0,Não,720p,Culinária,Português,Sim,476351,31.0,239,18,3809.0,22025,3669.0,294,Não,Manhã,Sábado,418032,12.943315655759134,0.061799096719868336,418032.0
VID00195,23,46,762.0,5.0,Sim,1080p,Vlogs,Inglês,Sim,574505,3.0,489,20,7476.0,11635,4014.0,163,Não,Noite,Sábado,1348712,14.11466136237004,0.014169815349755916,224785.33333333334
VID02479,3,59,302.0,12.0,Sim,1080p,Culinária,Português,Não,214563,85.0,332,8,6520.0,30212,1998.0,525,Não,Noite,Sexta,265389,12.488955721195241,0.13840814803929327,20414.53846153846
VID01407,3,23,913.0,13.0,Sim,1080p,Tecnologia,Português,Não,386180,8.0,70,9,310.0,31501,1547.0,53,Sim,Noite,Domingo,511749,13.145591503523535,0.06216133299723106,36553.5
VID01062,9,17,995.0,36.0,Sim,720p,Gaming,Português,Sim,168660,66.0,412,26,5357.0,5635,226.0,710,Não,Madrugada,Seg-Qui,301533,12.61663805827728,0.03645372148322074,8149.540540540541
VID01725,32,28,294.0,3.0,Não,1080p,Educação,Inglês,Não,353597,66.0,449,24,4007.0,15372,3622.0,607,Não,Tarde,Domingo,697328,13.455012601330393,0.027790365509487644,174332.0
VID02070,19,95,95.0,49.0,Sim,1080p,Fitness,Português,Sim,914474,81.0,86,3,6169.0,16214,1843.0,29,Não,Tarde,Sexta,651350,13.386803946397427,0.034364013203346894,13027.0
VID00901,49,64,461.0,16.0,Não,480p,Culinária,Português,Não,375597,113.0,482,5,7362.0,47561,4386.0,163,Não,Noite,Domingo,442237,12.999603477679901,0.12419358850571074,26013.941176470587
VID00094,49,59,763.0,50.0,Não,1080p,Música,Português,Sim,108506,5.0,113,2,9897.0,28894,2130.0,248,Não,Tarde,Sexta,332447,12.714238735870259,0.11668326079044178,6518.568627450981
VID02156,20,28,979.0,5.0,Não,720p,Fitness,Inglês,Sim,690521,79.0,224,26,8555.0,49944,3056.0,943,Não,Madrugada,Seg-Qui,1481122,14.208311141793207,0.03949640880359619,246853.66666666666
VID01799,26,79,602.0,12.0,Sim,1080p,Música,Inglês,Sim,460510,38.0,113,11,7788.0,24992,3494.0,969,Não,Noite,Domingo,2077123,14.546494802568724,0.015781443852867644,159778.6923076923
VID02017,36,87,126.0,1.0,Sim,1080p,Gaming,Português,Não,977525,12.0,161,23,1401.0,26402,1173.0,589,Não,Manhã,Domingo,1321253,14.094091843598141,0.02104290397070054,660626.5
VID02352,3,28,65.0,28.0,Sim,1080p,Vlogs,Inglês,Não,385330,29.0,352,24,6766.0,39978,3655.0,965,Não,Madrugada,Sexta,1177577,13.97897034471702,0.03969506877257283,40606.10344827586
VID02013,48,71,676.0,30.0,Sim,1080p,Gaming,Português,Não,272560,74.0,362,27,8637.0,35934,1828.0,856,Não,Madrugada,Domingo,518766,13.159210121074421,0.08591735001908375,16734.387096774193
VID01310,9,36,706.0,49.0,Não,720p,Fitness,Português,Sim,794460,30.0,340,1,8285.0,18953,4629.0,699,Não,Madrugada,Seg-Qui,614747,13.328967706718124,0.04430765827242752,12294.94
VID01670,25,14,631.0,4.0,Sim,1080p,Fitness,Português,Sim,311821,99.0,389,25,7394.0,3729,517.0,311,Não,Madrugada,Domingo,272208,12.51432543257649,0.04086213483806501,54441.6
VID01899,16,63,730.0,0.0,Não,1080p,Culinária,Espanhol,Sim,737663,29.0,462,21,7589.0,41159,1373.0,29,Não,Noite,Seg-Qui,788277,13.577606098501766,0.061841205566063706,788277.0
VID02020,50,22,69.0,13.0,Sim,720p,Educação,Espanhol,Sim,815365,24.0,370,24,2009.0,14583,1084.0,686,Sim,Tarde,Sexta,705228,13.466277851745971,0.023527142994889595,50373.42857142857
VID00171,27,58,296.0,38.0,Não,1080p,Música,Português,Não,218223,50.0,36,7,4945.0,20655,3492.0,735,Não,Manhã,Sexta,446059,13.008208751101948,0.057391510988456684,11437.410256410256
VID00569,46,72,758.0,5.0,Sim,1080p,Vlogs,Português,Sim,891956,112.0,337,23,7542.0,5566,768.0,130,Não,Tarde,Domingo,756715,13.53674329690205,0.017322241530827325,126119.16666666667
VID01362,53,85,624.0,22.0,Sim,1080p,Culinária,Inglês,Sim,442276,49.0,26,26,3533.0,21604,3787.0,962,Não,Noite,Sábado,1049782,13.864094034108541,0.023944971432164012,45642.69565217391
VID02395,21,58,239.0,30.0,Sim,480p,Vlogs,Inglês,Não,7422,82.0,413,13,5298.0,312,4903.0,835,Não,Manhã,Domingo,280121,12.542980501541196,0.020027059734900276,9036.161290322581
VID00464,43,34,830.0,42.0,Sim,1080p,Gaming,Português,Não,610311,90.0,253,25,6696.0,39807,1022.0,827,Não,Manhã,Sexta,931796,13.744870258784635,0.0499068465629816,21669.674418604653
VID00213,26,60,558.0,34.0,Sim,1080p,Tecnologia,Inglês,Não,310848,87.0,468,22,5131.0,35877,1820.0,200,Sim,Madrugada,Seg-Qui,1200275,13.998062088312283,0.034165503738726545,34293.57142857143
VID01573,2,100,125.0,34.0,Sim,720p,Vlogs,Inglês,Sim,74812,19.0,297,26,8412.0,20653,2454.0,989,Não,Noite,Seg-Qui,448574,13.013831170580868,0.06479421455545796,12816.4
VID01539,2,95,148.0,50.0,Não,720p,Música,Português,Não,194264,47.0,148,14,4208.0,36612,4272.0,148,Não,Noite,Sábado,436991,12.987670167274002,0.09341153479133438,8568.450980392157
VID01653,24,44,520.0,45.0,Sim,1080p,Culinária,Português,Não,171166,100.0,359,12,3727.0,9946,4351.0,699,Não,Madrugada,Seg-Qui,256688,12.455620514363359,0.053267001184317146,5580.173913043478
VID01724,58,30,472.0,38.0,Sim,1080p,Vlogs,Espanhol,Sim,763448,97.0,374,11,4463.0,11701,3932.0,592,Não,Noite,Seg-Qui,938136,13.751651272760405,0.017229911228222775,24054.76923076923
VID00297,30,90,478.0,32.0,Não,4K,Tecnologia,Inglês,Não,7871,37.0,463,28,4561.0,-259,3079.0,23,Não,Manhã,Domingo,221935,12.310144331003071,0.019384053889652374,6725.30303030303
VID00931,27,57,357.0,29.0,Sim,1080p,Fitness,Português,Não,29041,45.0,53,17,1006.0,25451,2521.0,259,Não,Noite,Sexta,141074,11.857046942837341,0.18753987269092817,4702.466666666666
VID02121,52,29,266.0,24.0,Sim,1080p,Culinária,Português,Não,582161,10.0,328,21,9199.0,43182,1763.0,887,Não,Tarde,Sábado,560494,13.236575600847962,0.09345505928698612,22419.76
VID01000,48,16,673.0,29.0,Sim,1080p,Culinária,Espanhol,Sim,687054,120.0,267,29,9003.0,34328,141.0,670,Não,Manhã,Sexta,804602,13.59810426705165,0.05385395512315406,26820.066666666666
VID01085,7,34,322.0,10.0,Não,1080p,Vlogs,Espanhol,Sim,549647,96.0,383,30,2023.0,44549,765.0,343,Sim,Tarde,Sexta,801385,13.594098007603089,0.05811438946324176,72853.18181818182
VID00509,59,20,504.0,24.0,Sim,4K,Culinária,Inglês,Não,812946,110.0,350,9,2648.0,29274,1590.0,704,Não,Manhã,Sábado,1686200,14.337988627519996,0.018931324872494364,67448.0
VID00240,25,16,,33.0,Sim,720p,Fitness,Português,Sim,780431,,86,28,9170.0,26155,2780.0,721,Sim,Tarde,Sábado,665800,13.408746106074473,0.05305647341544007,19582.352941176472
VID37465,18,14,430.0,36.0,Não,1080p,Música,Inglês,Sim,473099,44.0,257,28,775.0,23254,2517.0,777,Sim,Noite,Sábado,2210654,14.60879940967253,0.010869634053994881,59747.40540540541
VID00135,59,72,146.0,34.0,Sim,720p,Educação,Português,Sim,558649,102.0,55,10,8067.0,19877,27.0,251,Sim,Tarde,Domingo,434818,12.982685131526521,0.06426596875014373,12423.371428571429
VID01876,40,66,172.0,8.0,Sim,1080p,Vlogs,Português,Sim,468791,116.0,318,23,7057.0,16944,2981.0,583,Sim,Manhã,Sábado,505135,13.132582978931588,0.04751403090262999,56126.11111111111
VID01592,30,57,61.0,1.0,Não,720p,Tecnologia,Inglês,Sim,340592,30.0,125,20,1777.0,17061,3228.0,905,Não,Madrugada,Seg-Qui,4170980,15.24366181790618,0.0045164445765743305,2085490.0
